customer_tweet_id,customer_text,true_intent,pred_intent,true_escalate,pred_escalate,escalate_reason,reply,human_overall,_llm_judge_overall_FILL_LAST_DO_NOT_LOOK_YET
1027105,@SpotifyCares It shows as normal. The fun thing is that if I have the web player and the desktop app open I can alternate between versions on the fly...,playback_streaming_issue,playback_streaming_issue,True,False,"The issue involves generic troubleshooting steps for a playback issue and does not require account-specific data or safety intervention, so it falls under auto-handle.",Hey there! Mind trying a quick restart of both the desktop app and your browser to see if that helps sync things up? Keep us posted.,5,5
1811076,@SpotifyCares I have a new premium family account. How do my family set up on their devices if they have lost the email with the set up?,family_plan_management,family_plan_management,True,False,The request is an informational how-to question about family plan setup that can be answered with generic self-serve troubleshooting steps without requiring account-specific data or a human-in-the-loop lookup.,Hey there! Help's here. Can you DM us your account email address so we can take a look at your Family plan? /JU,3,5
1804198,@115888 I'm trying to reset my password and I'm always getting this error message.  Help!!,login_account_access,login_account_access,True,True,Escalation is required because resolving password reset errors involves account-specific investigation and troubleshooting beyond generic self-serve steps.,Hey there! Can you send us a DM with your account's email address? We'll take a look backstage.,5,5
1124962,Spotify inbox and messages are gone forever. Very disappointing :( @SpotifyCares,feature_request_feedback,feature_request_feedback,False,False,"This is feedback about a removed feature, which falls under the policy clause allowing auto-handling for feedback acknowledgement.","Hey! We totally get why you miss the inbox feature. We'll make sure to pass your feedback along to the right team, and give us a shout if you need anything else.",5,5
1970698,"@SpotifyCares IPhone 6s, ios 11.02, version 8.4.15",device_platform_support,device_platform_support,False,False,"The issue involves generic self-serve troubleshooting steps regarding app version and OS compatibility, which can be auto-handled without requiring account-specific data.","Thanks for sharing those details! Does logging out, restarting your device, and logging back in help at all? Keep us posted.",5,5
2653189,@SpotifyCares Hey guys any insight as to why my downloaded music keeps getting deleted off my ipod? Bit of a pain having to re-download a few thousands songs,downloads_offline_issue,downloads_offline_issue,False,False,"This is a technical troubleshooting issue covered by generic self-serve steps, so it should be auto-handled according to the policy.","Hey there! Sorry to hear that's happening. Check out the steps under ""Downloads unexpectedly removed"" here: https://spoti.fi/DownloadsSupport They should help get that sorted. Keep us posted!",5,5
911632,WHY DID YOUR TEAM CHANGE THE UPDATE?! @SpotifyCares Why aren't we allowed to press hold on a song for a preview anymore??,feature_request_feedback,feature_request_feedback,False,False,"This is feedback acknowledgement, which falls under auto-handling per the policy.",Hey! We totally get why you miss that feature and have more info about this here: spoti.fi/Help. Just let us know if you have any questions!,4,5
761988,@SpotifyCares the app won't let me share links to songs? The app just crashes when I use the share option,playback_streaming_issue,playback_streaming_issue,False,False,"This is a technical app issue that can be handled with generic self-serve troubleshooting steps, so it does not require account-specific data or escalation under the policy.","Hey there! Sorry about that. Can you let us know what device you're using, along with your app version? Keep us posted.",5,5
979105,Seketika semua playlist di spotify ga ke download dan kudu download satu2 dari awal. Fck.,downloads_offline_issue,downloads_offline_issue,True,False,The issue is a technical problem with downloads that can be addressed with generic self-serve troubleshooting steps rather than requiring account-specific data or escalation.,Hey there! Mind letting us know what device you're using and if you're on Wi-Fi or mobile data when this happens? We'll see what we can suggest. Keep us posted!,5,5
1035812,"@SpotifyCares hi I'm currently paying £14.99 but I'm now a student, how can I apply for a student account?",billing_payment_subscription,billing_payment_subscription,False,False,"This is an informational request about how to apply for a student discount, which falls under generic self-serve troubleshooting and informational answers that can be auto-handled without requiring account-specific data lookup.",Hey! We can definitely help you get that sorted. Can you DM us your account's email address so we can take a closer look? Keep us posted /WW,3,5
1798204,"On the topic of music, why the hell is “Here Comes the Boom” by Nelly not on @SpotifyCares, I need that in my playlist",content_missing_restricted,content_missing_restricted,False,False,"This is an informational query about missing content that can be auto-handled with standard self-serve information regarding music licensing and availability, not requiring account-specific data, security investigation, or a human handoff.","Hey there! We'd love to have all of that track available, but availability can vary depending on rights. Just let us know if you need anything else!",5,5
223065,"@SpotifyCares I could send members of my house to join the family account. I'm only utilizing 2 such accounts at present, would like to utilize more",family_plan_management,family_plan_management,True,False,"This is an informational query about Family Plan management that can be handled with generic self-serve troubleshooting steps, so it does not require account-specific data lookup or escalation under the policy.",Hey! Could you send us a DM with your account email or username? We'll take a look backstage.,3,5
1255449,"@SpotifyCares I uploaded a new single via an aggregator, Tunecore, and the company uploaded the single to a different artist? Help?? -Tori",content_missing_restricted,content_missing_restricted,True,True,"Resolving this requires account-specific data and investigation into the artist profile and aggregator upload, which falls under the clause requiring account-specific investigation as the only remaining path.","Hey Tori! Let's get this sorted out. Shoot us a DM with your artist name and the email on your Spotify for Artists account, and we'll take a look. Keep us posted!",5,5
1950859,"@SpotifyCares added my son to family group, he has accepted, but his account does not show it as Premium..still says Free. ???",family_plan_management,family_plan_management,False,False,"The issue involves generic troubleshooting steps for family plan setup, which can be auto-handled without requiring account-specific data or human intervention.","Hey there! Could you shoot us a DM with your account's email or username, and your son's too? We'll take a look backstage.",3,5
1961252,@SpotifyCares Hey suddenly unable to download my music but my sub is paid until the 8th. Need some help figuring what is up :),downloads_offline_issue,downloads_offline_issue,True,False,The issue is a technical troubleshooting matter that can be addressed with generic self-serve troubleshooting steps rather than requiring account-specific data or safety intervention.,"Hey there! Thanks for reaching out. Are you still running into this with your downloads, or are things working again now?",3,5
115221,@SpotifyCares Thanks JK. It's saying incorrect username and password. I've not changed my password at all though. I can only assume my account has been compromised in some way?,login_account_access,login_account_access,True,True,"The issue is safety/security-sensitive due to a suspected compromised account, requiring account-specific investigation per the escalation policy.",Hey there! That's definitely concerning. Can you send us a DM with your account email or username so we can take a look under the hood?,5,5
1968121,"@SpotifyCares I have enough money to get Premium, yet I always get an Error message. You know, I don’t HAVE to use the service.",billing_payment_subscription,billing_payment_subscription,True,True,"The issue involves a billing payment failure during subscription purchase, which requires an account-specific payment lookup according to the policy.",Hey there! That's not cool. Can you shoot us a DM with your account's username or email address? We'll take a look backstage /JM,5,5
